X0: 7 -----------------------------------------------------------
a: 9 -----------------------------------------------------------
c: 11 -----------------------------------------------------------
m: 512 -----------------------------------------------------------
g: 9 -----------------------------------------------------------
k: 2 -----------------------------------------------------------
x1: 74	r1: 0.1448
x2: 165	r2: 0.3229
x3: 472	r3: 0.9237
x4: 163	r4: 0.319
x5: 454	r5: 0.8885
x6: 1	r6: 0.002
x7: 20	r7: 0.0391
x8: 191	r8: 0.3738
x9: 194	r9: 0.3796
x10: 221	r10: 0.4325
x11: 464	r11: 0.908
x12: 91	r12: 0.1781
x13: 318	r13: 0.6223
x14: 313	r14: 0.6125
x15: 268	r15: 0.5245
x16: 375	r16: 0.7339
x17: 314	r17: 0.6145
x18: 277	r18: 0.5421
x19: 456	r19: 0.8924
x20: 19	r20: 0.0372
x21: 182	r21: 0.3562
x22: 113	r22: 0.2211
x23: 4	r23: 0.0078
x24: 47	r24: 0.092
x25: 434	r25: 0.8493
x26: 333	r26: 0.6517
x27: 448	r27: 0.8767
x28: 459	r28: 0.8982
x29: 46	r29: 0.09
x30: 425	r30: 0.8317
x31: 252	r31: 0.4932
x32: 231	r32: 0.4521
x33: 42	r33: 0.0822
x34: 389	r34: 0.7613
x35: 440	r35: 0.8611
x36: 387	r36: 0.7573
x37: 422	r37: 0.8258
x38: 225	r38: 0.4403
x39: 500	r39: 0.9785
x40: 415	r40: 0.8121
x41: 162	r41: 0.317
x42: 445	r42: 0.8708
x43: 432	r43: 0.8454
x44: 315	r44: 0.6164
x45: 286	r45: 0.5597
x46: 25	r46: 0.0489
x47: 236	r47: 0.4618
x48: 87	r48: 0.1703
x49: 282	r49: 0.5519
x50: 501	r50: 0.9804
x51: 424	r51: 0.8297
x52: 243	r52: 0.4755
x53: 150	r53: 0.2935
x54: 337	r54: 0.6595
x55: 484	r55: 0.9472
x56: 271	r56: 0.5303
x57: 402	r57: 0.7867
x58: 45	r58: 0.0881
x59: 416	r59: 0.8141
x60: 171	r60: 0.3346
x61: 14	r61: 0.0274
x62: 137	r62: 0.2681
x63: 220	r63: 0.4305
x64: 455	r64: 0.8904
x65: 10	r65: 0.0196
x66: 101	r66: 0.1977
x67: 408	r67: 0.7984
x68: 99	r68: 0.1937
x69: 390	r69: 0.7632
x70: 449	r70: 0.8787
x71: 468	r71: 0.9159
x72: 127	r72: 0.2485
x73: 130	r73: 0.2544
x74: 157	r74: 0.3072
x75: 400	r75: 0.7828
x76: 27	r76: 0.0528
x77: 254	r77: 0.4971
x78: 249	r78: 0.4873
x79: 204	r79: 0.3992
x80: 311	r80: 0.6086
x81: 250	r81: 0.4892
x82: 213	r82: 0.4168
x83: 392	r83: 0.7671
x84: 467	r84: 0.9139
x85: 118	r85: 0.2309
x86: 49	r86: 0.0959
x87: 452	r87: 0.8845
x88: 495	r88: 0.9687
x89: 370	r89: 0.7241
x90: 269	r90: 0.5264
x91: 384	r91: 0.7515
x92: 395	r92: 0.773
x93: 494	r93: 0.9667
x94: 361	r94: 0.7065
x95: 188	r95: 0.3679
x96: 167	r96: 0.3268
x97: 490	r97: 0.9589
x98: 325	r98: 0.636
x99: 376	r99: 0.7358
x100: 323	r100: 0.6321
x101: 358	r101: 0.7006
x102: 161	r102: 0.3151
x103: 436	r103: 0.8532
x104: 351	r104: 0.6869
x105: 98	r105: 0.1918
x106: 381	r106: 0.7456
x107: 368	r107: 0.7202
x108: 251	r108: 0.4912
x109: 222	r109: 0.4344
x110: 473	r110: 0.9256
x111: 172	r111: 0.3366
x112: 23	r112: 0.045
x113: 218	r113: 0.4266
x114: 437	r114: 0.8552
x115: 360	r115: 0.7045
x116: 179	r116: 0.3503
x117: 86	r117: 0.1683
x118: 273	r118: 0.5342
x119: 420	r119: 0.8219
x120: 207	r120: 0.4051
x121: 338	r121: 0.6614
x122: 493	r122: 0.9648
x123: 352	r123: 0.6888
x124: 107	r124: 0.2094
x125: 462	r125: 0.9041
x126: 73	r126: 0.1429
x127: 156	r127: 0.3053
x128: 391	r128: 0.7652
x129: 458	r129: 0.8963
x130: 37	r130: 0.0724
x131: 344	r131: 0.6732
x132: 35	r132: 0.0685
x133: 326	r133: 0.638
x134: 385	r134: 0.7534
x135: 404	r135: 0.7906
x136: 63	r136: 0.1233
x137: 66	r137: 0.1292
x138: 93	r138: 0.182
x139: 336	r139: 0.6575
x140: 475	r140: 0.9295
x141: 190	r141: 0.3718
x142: 185	r142: 0.362
x143: 140	r143: 0.274
x144: 247	r144: 0.4834
x145: 186	r145: 0.364
x146: 149	r146: 0.2916
x147: 328	r147: 0.6419
x148: 403	r148: 0.7886
x149: 54	r149: 0.1057
x150: 497	r150: 0.9726
x151: 388	r151: 0.7593
x152: 431	r152: 0.8434
x153: 306	r153: 0.5988
x154: 205	r154: 0.4012
x155: 320	r155: 0.6262
x156: 331	r156: 0.6477
x157: 430	r157: 0.8415
x158: 297	r158: 0.5812
x159: 124	r159: 0.2427
x160: 103	r160: 0.2016
x161: 426	r161: 0.8337
x162: 261	r162: 0.5108
x163: 312	r163: 0.6106
x164: 259	r164: 0.5068
x165: 294	r165: 0.5753
x166: 97	r166: 0.1898
x167: 372	r167: 0.728
x168: 287	r168: 0.5616
x169: 34	r169: 0.0665
x170: 317	r170: 0.6204
x171: 304	r171: 0.5949
x172: 187	r172: 0.3659
x173: 158	r173: 0.3092
x174: 409	r174: 0.8004
x175: 108	r175: 0.2114
x176: 471	r176: 0.9217
x177: 154	r177: 0.3014
x178: 373	r178: 0.7299
x179: 296	r179: 0.5793
x180: 115	r180: 0.225
x181: 22	r181: 0.0431
x182: 209	r182: 0.409
x183: 356	r183: 0.6967
x184: 143	r184: 0.2798
x185: 274	r185: 0.5362
x186: 429	r186: 0.8395
x187: 288	r187: 0.5636
x188: 43	r188: 0.0841
x189: 398	r189: 0.7789
x190: 9	r190: 0.0176
x191: 92	r191: 0.18
x192: 327	r192: 0.6399
x193: 394	r193: 0.771
x194: 485	r194: 0.9491
x195: 280	r195: 0.5479
x196: 483	r196: 0.9452
x197: 262	r197: 0.5127
x198: 321	r198: 0.6282
x199: 340	r199: 0.6654
x200: 511	r200: 1.0
x201: 2	r201: 0.0039
x202: 29	r202: 0.0568
x203: 272	r203: 0.5323
x204: 411	r204: 0.8043
x205: 126	r205: 0.2466
x206: 121	r206: 0.2368
x207: 76	r207: 0.1487
x208: 183	r208: 0.3581
x209: 122	r209: 0.2387
x210: 85	r210: 0.1663
x211: 264	r211: 0.5166
x212: 339	r212: 0.6634
x213: 502	r213: 0.9824
x214: 433	r214: 0.8474
x215: 324	r215: 0.6341
x216: 367	r216: 0.7182
x217: 242	r217: 0.4736
x218: 141	r218: 0.2759
x219: 256	r219: 0.501
x220: 267	r220: 0.5225
x221: 366	r221: 0.7162
x222: 233	r222: 0.456
x223: 60	r223: 0.1174
x224: 39	r224: 0.0763
x225: 362	r225: 0.7084
