X0: 13 -----------------------------------------------------------
a: 67 -----------------------------------------------------------
N: 128 -----------------------------------------------------------
m: 512 -----------------------------------------------------------
g: 9 -----------------------------------------------------------
k: 8 -----------------------------------------------------------
x1: 359	r1: 0.7025
x2: 501	r2: 0.9804
x3: 287	r3: 0.5616
x4: 285	r4: 0.5577
x5: 151	r5: 0.2955
x6: 389	r6: 0.7613
x7: 463	r7: 0.9061
x8: 301	r8: 0.589
x9: 199	r9: 0.3894
x10: 21		r10: 0.0411
x11: 383	r11: 0.7495
x12: 61		r12: 0.1194
x13: 503	r13: 0.9843
x14: 421	r14: 0.8239
x15: 47		r15: 0.092
x16: 77		r16: 0.1507
x17: 39		r17: 0.0763
x18: 53		r18: 0.1037
x19: 479	r19: 0.9374
x20: 349	r20: 0.683
x21: 343	r21: 0.6712
x22: 453	r22: 0.8865
x23: 143	r23: 0.2798
x24: 365	r24: 0.7143
x25: 391	r25: 0.7652
x26: 85		r26: 0.1663
x27: 63		r27: 0.1233
x28: 125	r28: 0.2446
x29: 183	r29: 0.3581
x30: 485	r30: 0.9491
x31: 239	r31: 0.4677
x32: 141	r32: 0.2759
x33: 231	r33: 0.4521
x34: 117	r34: 0.229
x35: 159	r35: 0.3112
x36: 413	r36: 0.8082
x37: 23		r37: 0.045
x38: 5		r38: 0.0098
x39: 335	r39: 0.6556
x40: 429	r40: 0.8395
x41: 71		r41: 0.1389
x42: 149	r42: 0.2916
x43: 255	r43: 0.499
x44: 189	r44: 0.3699
x45: 375	r45: 0.7339
x46: 37		r46: 0.0724
x47: 431	r47: 0.8434
x48: 205	r48: 0.4012
x49: 423	r49: 0.8278
x50: 181	r50: 0.3542
x51: 351	r51: 0.6869
x52: 477	r52: 0.9335
x53: 215	r53: 0.4207
x54: 69		r54: 0.135
x55: 15		r55: 0.0294
x56: 493	r56: 0.9648
x57: 263	r57: 0.5147
x58: 213	r58: 0.4168
x59: 447	r59: 0.8748
x60: 253	r60: 0.4951
x61: 55		r61: 0.1076
x62: 101	r62: 0.1977
x63: 111	r63: 0.2172
x64: 269	r64: 0.5264
x65: 103	r65: 0.2016
x66: 245	r66: 0.4795
x67: 31		r67: 0.0607
x68: 29		r68: 0.0568
x69: 407	r69: 0.7965
x70: 133	r70: 0.2603
x71: 207	r71: 0.4051
x72: 45		r72: 0.0881
x73: 455	r73: 0.8904
x74: 277	r74: 0.5421
x75: 127	r75: 0.2485
x76: 317	r76: 0.6204
x77: 247	r77: 0.4834
x78: 165	r78: 0.3229
x79: 303	r79: 0.593
x80: 333	r80: 0.6517
x81: 295	r81: 0.5773
x82: 309	r82: 0.6047
x83: 223	r83: 0.4364
x84: 93		r84: 0.182
x85: 87		r85: 0.1703
x86: 197	r86: 0.3855
x87: 399	r87: 0.7808
x88: 109	r88: 0.2133
x89: 135	r89: 0.2642
x90: 341	r90: 0.6673
x91: 319	r91: 0.6243
x92: 381	r92: 0.7456
x93: 439	r93: 0.8591
x94: 229	r94: 0.4481
x95: 495	r95: 0.9687
x96: 397	r96: 0.7769
x97: 487	r97: 0.953
x98: 373	r98: 0.7299
x99: 415	r99: 0.8121
x100: 157	r100: 0.3072
x101: 279	r101: 0.546
x102: 261	r102: 0.5108
x103: 79		r103: 0.1546
x104: 173	r104: 0.3386
x105: 327	r105: 0.6399
x106: 405	r106: 0.7926
x107: 511	r107: 1.0
x108: 445	r108: 0.8708
x109: 119	r109: 0.2329
x110: 293	r110: 0.5734
x111: 175	r111: 0.3425
x112: 461	r112: 0.9022
x113: 167	r113: 0.3268
x114: 437	r114: 0.8552
x115: 95		r115: 0.1859
x116: 221	r116: 0.4325
x117: 471	r117: 0.9217
x118: 325	r118: 0.636
x119: 271	r119: 0.5303
x120: 237	r120: 0.4638
x121: 7		r121: 0.0137
x122: 469	r122: 0.9178
x123: 191	r123: 0.3738
x124: 509	r124: 0.9961
x125: 311	r125: 0.6086
x126: 357	r126: 0.6986
x127: 367	r127: 0.7182
x128: 13		r128: 0.0254
